sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,padding,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower_ms,mvt_err_upper_ms,all_median_mvt_ms,all_mvt_err_lower_ms,all_mvt_err_upper_ms,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,sigma_feature,center_time_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,complex_pulse_short,0.01,4,4,1,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,99,201,111.018,45.0142,64.3674,147.538,57.6528,101.7509,-999,7991.15,5206.67,5176.96,29.71,42.83,998.89,33.51,26.69,-999,58.25,57.91,5.46,4.58,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,8,4,2,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,95,205,84.905,36.2066,32.2228,93.571,35.4488,77.5892,-999,7986.4,10387.48,10330.02,57.46,17.54,998.3,49.53,15.73,-999,116.24,115.6,8.95,14.11,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,1.0,0.01,100,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,192,108,40.0235,14.8259,6.1818,35.2265,14.186,13.0906,-999,7999.09,517578.33,517571.24,7.09,17.93,999.89,1364.26,7.46,-999,5787.3,5787.22,0.21,1.7,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,30,3,10,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,175,125,5.303,1.2174,1.6883,6.9405,2.5685,12.5085,-999,7999.38,52026.17,51798.07,228.1,17.74,999.92,62.25,58.7,-999,581.72,579.17,19.66,55.22,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,8,2,4,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,137,163,72.361,23.8236,21.4409,80.379,28.5644,45.9684,-999,8000.23,20755.72,20696.41,59.31,18.28,1000.03,82.34,15.4,-999,232.06,231.4,7.38,14.24,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,9,3,3,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,115,185,68.333,26.9558,29.6576,78.2875,29.7801,55.3653,-999,7990.1,15588.88,15522.73,66.15,17.97,998.76,62.6,16.35,-999,174.41,173.67,9.09,15.96,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,200,2,100,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,258,42,3.502,0.9266,0.2894,3.5495,0.9405,0.7671,-999,7997.37,519069.1,517567.47,1501.63,2684.61,999.67,609.26,609.19,-999,5804.59,5787.79,43.67,28.98,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,20,4,5,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,228,72,4.9275,1.3812,1.179,5.2415,1.5587,2.2402,-999,7997.79,26023.51,25872.95,150.56,151.21,999.72,58.26,58.26,-999,291.0,289.32,17.24,12.27,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,4,2,2,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,165,135,95.025,31.588,26.5849,101.1255,31.4977,68.8623,-999,7998.23,10369.39,10339.73,29.66,18.23,999.78,52.09,12.88,-999,115.95,115.62,4.62,7.11,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,6,2,3,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,149,151,78.871,24.3391,20.8125,86.508,28.2192,55.13,-999,7994.85,15580.22,15535.93,44.3,18.1,999.36,66.68,13.89,-999,174.26,173.76,6.09,10.66,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,10,2,5,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,97,203,27.478,18.6682,34.9074,40.9215,23.5711,26.0319,-999,8016.65,25915.16,25840.98,74.19,151.12,1002.08,64.97,55.36,-999,289.45,288.62,8.5,6.04,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,15,3,5,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,169,131,6.177,1.9064,2.3064,8.3905,3.3199,12.5399,-999,8005.69,26011.5,25896.92,114.58,154.09,1000.71,47.15,46.94,-999,290.73,289.45,13.12,9.25,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,3,1,3,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,165,135,80.468,24.0891,21.6026,91.408,30.9701,56.5509,-999,7997.7,15556.18,15533.82,22.36,18.18,999.71,67.14,11.51,-999,173.96,173.71,3.07,5.36,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,2,1,2,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,169,131,96.386,28.2528,33.8005,106.0735,36.7991,76.572,-999,7999.42,10356.43,10341.64,14.79,18.43,999.93,52.06,11.43,-999,115.8,115.63,2.3,3.53,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,4,1,4,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,144,156,67.6085,24.4492,17.7232,78.646,27.7697,41.4213,-999,8007.45,20729.78,20699.96,29.82,123.53,1000.93,79.73,59.78,-999,231.67,231.34,3.71,2.69,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,500,5,100,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,300,0,2.6055,0.0515,0.4215,2.6055,0.0515,0.4215,-999,7998.24,521342.8,517585.81,3756.99,2687.16,999.78,1010.22,1010.22,-999,5829.7,5787.69,109.25,72.48,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,300,3,100,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,269,31,2.993,0.5775,0.4683,3.0275,0.5751,0.5995,-999,7998.0,519836.22,517581.9,2254.32,17.95,999.75,454.75,446.43,-999,5812.95,5787.74,65.55,543.48,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,0.01,0.01,1,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,158,142,153.4905,57.7479,76.719,186.735,74.0629,109.7099,-999,7998.04,5179.35,5179.28,0.08,18.08,999.76,38.82,12.6,-999,57.92,57.92,0.01,0.02,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,50,1,50,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,96,204,35.0965,18.9645,14.4417,32.619,15.1962,18.0692,-999,7997.2,259094.81,258723.41,371.41,17.98,999.65,644.87,69.12,-999,2897.4,2893.25,15.16,89.52,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,250,5,50,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,298,2,2.5905,0.4485,0.48,2.5915,0.4488,0.4805,-999,8000.51,260665.45,258786.78,1878.66,18.18,1000.06,368.28,352.49,-999,2914.36,2893.36,76.68,450.22,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,3,3,1,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,108,192,119.2235,39.8435,104.2615,176.2735,78.8443,108.1281,-999,7995.22,5193.41,5171.44,21.96,42.82,999.4,34.51,29.06,-999,58.08,57.84,4.03,3.38,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,30,3,10,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,223,77,4.884,1.3162,1.0654,5.189,1.5655,2.7336,-999,7992.96,52004.16,51778.08,226.08,284.46,999.12,93.85,93.85,-999,581.71,579.18,19.49,13.42,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,10,5,2,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,75,225,41.312,36.3732,56.6252,68.9985,49.7475,62.4291,-999,7992.79,10407.65,10333.33,74.32,17.85,999.1,36.16,17.1,-999,116.42,115.59,11.57,18.08,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,0.04,0.01,4,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,172,128,71.824,18.4447,22.9482,81.092,25.566,40.1842,-999,8009.15,20698.79,20698.51,0.28,18.47,1001.14,82.0,8.52,-999,231.3,231.29,0.03,0.07,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,300,3,100,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,292,8,2.978,0.5311,0.1444,2.983,0.5322,0.4328,-999,7997.61,519841.79,517587.54,2254.25,2687.49,999.7,743.61,743.61,-999,5813.14,5787.93,65.55,43.49,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
