MVT_snr,median_mvt_ms,width,bin_width_ms,mvt_err_upper,mvt_err_lower
3.25,2.342,3.0,0.0003,0.406,1.1886
72.9,0.755,3.0,0.0003,0.136,0.1539
4.11,1.827,3.0,0.0003,1.8445,0.3283
634.59,0.5195,3.0,0.0003,0.1035,0.1075
1953.07,0.514,3.0,0.0003,0.012,0.09
25.22,1.021,3.0,0.0003,0.2022,0.2818
209.26,0.625,3.0,0.0003,0.121,0.1257
10.08,1.4105,3.0,0.0003,0.3209,0.3845
10.27,1.37,3.0,0.0001,0.3364,0.3799
71.74,0.813,3.0,0.0001,0.0367,0.2324
4.32,1.893,3.0,0.0001,1.273,0.341
198.09,0.5915,3.0,0.0001,0.1185,0.119
639.83,0.485,3.0,0.0001,0.102,0.1604
1765.32,0.47,3.0,0.0001,0.02,0.1779
3.38,3.823,3.0,0.0001,0.4835,0.4835
24.27,0.976,3.0,0.0001,0.196,0.1888
4.76,6.489,10.0,0.001,6.7855,2.6028
3194.24,1.402,10.0,0.001,0.0313,0.36
6.57,4.875,10.0,0.001,3.0396,1.3468
358.1,1.709,10.0,0.001,0.35,0.5726
39.49,2.491,10.0,0.001,0.472,0.486
1051.25,1.41,10.0,0.001,0.308,0.3889
16.72,3.44,10.0,0.001,0.6334,0.9021
129.06,2.0555,10.0,0.001,0.4097,0.6427
4.7,7.06,10.0,0.0003,4.7404,3.3566
358.83,1.696,10.0,0.0003,0.256,0.692
119.53,1.975,10.0,0.0003,0.365,0.5822
3019.45,1.1665,10.0,0.0003,0.2601,0.4347
40.07,2.503,10.0,0.0003,0.4725,0.5132
1056.44,1.409,10.0,0.0003,0.305,0.5651
16.72,3.442,10.0,0.0003,0.65,0.983
6.53,4.902,10.0,0.0003,3.0892,1.3939
6.74,4.8195,10.0,0.0001,2.9887,1.1273
4.68,7.601,10.0,0.0001,7.0426,5.4868
122.85,1.9555,10.0,0.0001,0.3993,0.7031
1072.53,1.322,10.0,0.0001,0.295,0.677
15.6,3.286,10.0,0.0001,0.6367,0.896
2528.9,0.799,10.0,0.0001,0.5178,0.6388
42.74,2.633,10.0,0.0001,0.2146,0.6744
349.1,1.6185,10.0,0.0001,0.3445,0.6691
28.19,11.475,30.0,1.0,0.6333,1.235
7.4,20.534,30.0,1.0,14.998,9.3446
751.54,11.468,30.0,1.0,0.0312,1.075
2508.61,11.484,30.0,1.0,0.015,0.9798
11.1,12.411,30.0,1.0,2.8634,1.9252
82.8,10.472,30.0,1.0,1.0012,0.1812
269.39,10.509,30.0,1.0,0.982,0.1582
7504.51,11.492,30.0,1.0,0.009,0.013
79.98,9.372,30.0,0.3,1.1003,0.144
70.8,6.667,30.0,0.1,1.188,0.3097
29.26,10.3965,30.0,0.3,0.7498,1.2929
2578.3,9.407,30.0,0.3,0.03,0.04
777.42,9.4,30.0,0.3,0.0722,0.0572
10.38,11.176,30.0,0.1,3.8624,2.3368
10.68,12.63,30.0,0.3,2.9833,3.297
25.93,8.843,30.0,0.1,0.4984,1.7644
6.92,18.4905,30.0,0.1,16.6775,7.9761
7.26,19.107,30.0,0.3,16.5626,8.008
688.19,6.66,30.0,0.1,0.5112,0.196
69.83,6.562,30.0,0.03,1.1766,1.2909
227.99,6.5665,30.0,0.1,0.556,0.183
10.43,11.1365,30.0,0.03,3.8595,2.284
26.82,7.806,30.0,0.03,1.469,1.5858
7685.35,9.4145,30.0,0.3,0.0167,0.0197
637.2,5.43,30.0,0.03,0.67,0.933
2345.85,7.14,30.0,0.1,0.035,0.5362
260.3,9.392,30.0,0.3,1.0022,0.1193
6.77,18.284,30.0,0.03,13.4641,8.2415
7009.45,7.157,30.0,0.1,0.016,0.024
6294.74,5.416,30.0,0.03,0.0342,0.0352
211.2,5.486,30.0,0.03,1.059,1.0529
2112.71,5.417,30.0,0.03,0.07,0.8843
-999.0,-100.0,3.0,0.1,0.0,0.0
247.93,2.099,3.0,0.03,0.008,0.01
229.24,1.455,3.0,0.01,0.0132,0.0102
762.01,1.455,3.0,0.01,0.007,0.007
-999.0,-100.0,3.0,0.1,0.0,0.0
-999.0,-100.0,3.0,0.1,0.0,0.0
4.36,3.293,3.0,0.03,1.139,1.2534
82.6,2.104,3.0,0.03,0.017,0.011
24.17,1.453,3.0,0.01,0.0563,0.156
22.8,2.146,3.0,0.03,0.027,0.034
7.95,2.269,3.0,0.03,0.808,0.0902
9.95,1.5535,3.0,0.01,0.4679,0.1295
4.09,4.32,3.0,0.1,0.017,1.0044
817.47,0.9345,3.0,0.003,0.0865,0.0095
24.91,1.087,3.0,0.003,0.1998,0.1834
4.35,2.099,3.0,0.01,1.4186,0.3901
3.28,2.989,3.0,0.01,0.9357,0.5889
76.88,1.4565,3.0,0.01,0.0205,0.0217
3.37,3.784,3.0,0.03,0.4733,0.4733
3.26,3.008,3.0,0.003,0.9391,0.5964
80.73,1.02,3.0,0.003,0.0603,0.112
4.11,1.827,3.0,0.003,1.5004,0.2758
244.63,0.93,3.0,0.003,0.094,0.0152
8.87,1.4715,3.0,0.003,0.3383,0.3774
830.6,2.095,3.0,0.03,0.006,0.0042
2483.29,2.094,3.0,0.03,0.003,0.003
2272.23,1.455,3.0,0.01,0.004,0.005
2446.61,0.935,3.0,0.003,0.006,0.006
5.0,10.4685,10.0,0.1,7.0149,5.119
1478.97,4.385,10.0,0.1,0.0122,0.013
45.93,4.3795,10.0,0.1,0.0787,0.0797
4399.75,4.385,10.0,0.1,0.008,0.0062
149.58,4.384,10.0,0.1,0.036,0.0392
17.23,4.407,10.0,0.1,0.6743,0.1359
7.38,5.496,10.0,0.1,2.248,1.0322
445.66,4.384,10.0,0.1,0.021,0.023
4.99,10.43,10.0,0.03,8.0836,2.9771
1469.11,3.095,10.0,0.03,0.0132,0.0132
16.78,3.59,10.0,0.01,0.6626,0.8342
4377.69,3.097,10.0,0.03,0.008,0.008
149.65,3.1095,10.0,0.03,0.1675,0.0587
42.87,3.2455,10.0,0.03,0.1712,0.1997
6.86,5.152,10.0,0.03,2.3752,1.0803
403.55,2.416,10.0,0.01,0.03,0.2582
6.48,5.022,10.0,0.01,2.5594,1.3506
130.09,2.2445,10.0,0.01,0.3577,0.1954
16.28,3.804,10.0,0.03,0.6666,0.6601
5.12,10.97,10.0,0.01,8.9579,5.3614
1316.69,2.209,10.0,0.01,0.2222,0.03
3918.42,2.209,10.0,0.01,0.217,0.0202
442.26,3.093,10.0,0.03,0.1368,0.022
42.11,2.6485,10.0,0.01,0.4475,0.4587
360.69,1.829,10.0,0.003,0.237,0.585
3387.07,1.532,10.0,0.003,0.299,0.0312
4.96,8.7395,10.0,0.003,8.9732,3.9483
128.28,2.166,10.0,0.003,0.291,0.6766
42.9,2.6105,10.0,0.003,0.4885,0.4747
1124.32,1.542,10.0,0.003,0.3016,0.0563
6.5,5.032,10.0,0.003,2.9124,1.2752
16.72,3.5945,10.0,0.003,0.6511,0.943
69.0,6.209,30.0,0.01,1.141,1.9012
6.72,18.086,30.0,0.01,15.2848,7.9906
11.24,11.6585,30.0,0.01,2.7265,3.1682
1892.21,4.1565,30.0,0.01,0.0915,1.0988
207.97,5.095,30.0,0.01,1.045,2.047
26.12,8.286,30.0,0.01,0.6167,2.5472
569.85,4.19,30.0,0.01,0.9316,1.3574
5634.03,4.152,30.0,0.01,0.0462,0.7152
207.17,5.085,30.0,0.003,1.0845,2.2018
24.65,7.4865,30.0,0.003,1.42,2.1807
1755.6,3.4965,30.0,0.003,0.7562,0.9892
558.31,4.223,30.0,0.003,0.9289,1.6812
68.84,6.22,30.0,0.003,1.1668,2.0128
7.43,19.952,30.0,0.003,13.7931,9.4953
11.39,11.732,30.0,0.003,2.7546,3.3141
5195.54,3.487,30.0,0.003,0.7192,0.4055
10.48,11.319,30.0,0.001,2.8888,3.1959
65.46,5.887,30.0,0.001,1.1609,1.8087
202.44,4.809,30.0,0.001,1.0438,2.0028
7.22,18.992,30.0,0.001,13.3352,7.7544
1685.11,3.5745,30.0,0.001,0.4327,1.4988
24.99,8.144,30.0,0.001,1.073,2.5064
5148.7,3.552,30.0,0.001,0.3826,0.6969
559.79,3.982,30.0,0.001,0.8709,1.5874
