bin_width_ms,median_mvt_ms,width,peak_time_ratio,mvt_err_upper,mvt_err_lower
1.0,11.488,30.0,0.5,0.0112,0.015
1.0,9.982,30.0,0.2,0.0293,0.028
0.5,10.2,30.0,0.2,0.032,0.03
0.1,5.277,30.0,0.2,0.038,0.033
0.2,6.2635,30.0,0.2,0.8868,0.0387
0.5,11.61,30.0,0.5,0.017,0.015
0.5,10.2075,30.0,0.8,0.0275,0.0345
0.2,7.783,30.0,0.5,0.026,0.028
0.05,4.345,30.0,0.2,0.034,0.0372
0.02,3.551,30.0,0.2,0.038,0.0412
0.01,2.95,30.0,0.2,0.0402,0.2813
0.1,7.1535,30.0,0.5,0.0187,0.0403
0.05,5.414,30.0,0.5,0.0798,0.0432
0.005,2.495,30.0,0.2,0.474,0.0582
0.05,4.342,30.0,0.8,0.035,0.036
0.02,5.013,30.0,0.5,0.0542,0.7825
1.0,9.987,30.0,0.8,0.0272,0.035
0.1,5.2755,30.0,0.8,0.0395,0.0325
0.01,4.15,30.0,0.5,0.0562,1.0362
0.2,6.263,30.0,0.8,0.897,0.0352
0.02,3.5495,30.0,0.8,0.0375,0.0347
0.01,2.948,30.0,0.8,0.032,0.2752
0.002,2.3345,30.0,0.2,0.47,0.6204
0.005,4.134,30.0,0.5,0.0613,1.0423
0.005,2.492,30.0,0.8,0.467,0.052
0.002,2.3325,30.0,0.8,0.4605,0.6153
0.002,3.626,30.0,0.5,0.3124,0.7747
0.001,2.3275,30.0,0.2,0.4715,0.6605
0.001,2.327,30.0,0.8,0.459,0.6332
0.5,10.433,50.0,0.2,0.0522,0.045
0.05,5.3,50.0,0.2,0.05,0.049
1.0,10.249,50.0,0.2,0.048,0.0395
0.2,7.496,50.0,0.2,0.047,0.0462
0.01,4.1305,50.0,0.2,0.0635,0.5263
0.1,6.343,50.0,0.2,0.0432,0.046
0.1,8.8465,50.0,0.5,0.0508,0.0605
0.05,7.516,50.0,0.5,0.073,0.0772
0.02,4.928,50.0,0.2,0.0493,0.7055
0.2,10.1085,50.0,0.5,1.8395,0.0407
0.02,6.9115,50.0,0.5,0.0807,1.6688
0.5,14.404,50.0,0.5,0.023,0.03
0.005,4.119,50.0,0.2,0.0613,1.0203
1.0,12.673,50.0,0.5,0.0293,0.035
0.01,6.964,50.0,0.5,0.0712,1.1893
0.5,10.4375,50.0,0.8,0.045,0.0495
0.1,6.342,50.0,0.8,0.046,0.0455
0.2,7.501,50.0,0.8,0.0442,0.059
1.0,10.254,50.0,0.8,0.0443,0.048
0.05,5.2955,50.0,0.8,0.0537,0.0497
0.005,5.7855,50.0,0.5,0.5765,0.66
0.02,4.927,50.0,0.8,0.05,0.7091
0.002,3.897,50.0,0.2,0.0774,1.0454
0.005,4.1245,50.0,0.8,0.0525,1.0285
0.01,4.136,50.0,0.8,0.054,0.5235
0.001,3.53,30.0,0.5,0.4071,0.6909
0.5,12.8035,100.0,0.2,0.0633,0.0715
1.0,14.31,100.0,0.2,0.0573,0.071
0.2,10.6375,100.0,0.2,0.0657,0.0665
