sim_type,pulse_shape,bin_width_ms,peak_amplitude,position,angle,trigger,sim_det,base_det,analysis_det,num_analysis_det,background_level,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,gaussian,0.0001,0.2,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,1,299,-100.0,0.0,0.0,5.4415,3.3687,16.7703,0.11,1.36,-999,-999,-999,-999,1051.85,-999.0,-999,0.08,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,0.3,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,1,299,-100.0,0.0,0.0,5.41,3.1916,20.3679,0.24,1.32,-999,-999,-999,-999,1026.32,-999.0,-999,0.18,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,2.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,2,298,2.458,0.085,0.085,7.081,4.4974,12.713,4.0,1.0,-999,-999,-999,-999,833.33,3.18,-999,3.44,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,10.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,106,194,0.788,0.227,0.5648,1.9185,1.2305,6.0523,9.25,1.28,-999,-999,-999,-999,986.16,8.0,-999,7.23,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,0.5,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,1,299,-100.0,0.0,0.0,13.047,10.666,22.4803,0.48,1.27,-999,-999,-999,-999,1001.67,-999.0,-999,0.36,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,5.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,19,281,1.176,0.4305,1.3232,5.2795,3.6504,8.0724,5.84,1.21,-999,-999,-999,-999,1010.53,4.6,-999,4.49,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,3.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,4,296,1.705,0.8004,1.2845,7.331,4.3739,11.2722,3.0,1.25,-999,-999,-999,-999,900.0,3.62,-999,2.36,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,1.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,0,300,-100.0,0.0,0.0,10.2335,8.37,17.7837,0.9,1.26,-999,-999,-999,-999,1034.92,-999.0,-999,0.7,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,0.1,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,1,299,-100.0,0.0,0.0,6.386,4.2589,17.1939,0.03,1.34,-999,-999,-999,-999,1066.67,-999.0,-999,0.02,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,20.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,225,75,0.606,0.1342,0.1932,0.696,0.2106,0.6392,15.57,1.28,-999,-999,-999,-999,971.26,14.04,-999,12.14,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
