MVT_snr,median_mvt_ms,sigma,bin_width_ms,mvt_err_upper,mvt_err_lower
11.76,2.054,0.001,0.01,0.4283,0.4944
4.59,10.262,0.001,0.01,6.444,3.3981
8.7,6.451,0.003,0.03,4.0956,1.9793
157.49,2.6385,0.003,0.01,0.4455,0.0959
25.8,6.4195,0.005,0.03,1.1348,1.1755
4.6,10.288,0.001,0.03,7.2248,3.0014
4.75,11.328,0.001,0.1,6.032,2.2596
22.1,5.172,0.003,0.1,0.7926,0.7342
5.89,14.357,0.003,0.01,13.3824,7.537
25.65,6.445,0.005,0.1,1.115,0.9876
34.53,1.7445,0.001,0.01,0.0717,0.2467
50.16,3.091,0.003,0.01,0.594,0.4824
5.24,5.994,0.001,0.1,5.8371,1.6128
230.41,6.0465,0.005,0.1,0.0455,0.0628
20.35,4.244,0.003,0.01,0.8477,1.0734
6.79,20.706,0.005,0.1,22.4781,10.1678
71.42,6.0675,0.005,0.1,0.3925,0.1177
6.92,21.155,0.005,0.03,21.4335,12.464
603.32,4.654,0.005,0.03,0.4792,0.0432
302.56,1.545,0.001,0.01,0.154,0.019
103.94,2.2335,0.001,0.03,0.0615,0.0237
174.32,3.339,0.003,0.03,0.052,0.0553
5.38,4.346,0.001,0.003,5.4818,2.1734
521.13,3.339,0.003,0.03,0.031,0.0303
61.65,4.801,0.005,0.03,0.8214,0.3322
300.7,1.106,0.001,0.003,0.02,0.0182
33.59,1.497,0.001,0.003,0.277,0.3688
12.85,1.8715,0.001,0.003,0.3815,0.3981
4.4,8.5575,0.001,0.003,7.7059,6.5953
193.31,4.3195,0.005,0.01,0.0814,0.8291
100.0,1.109,0.001,0.003,0.195,0.0453
7.86,6.304,0.003,0.01,3.553,2.067
10.5,8.512,0.005,0.01,3.429,2.3332
65.55,4.898,0.005,0.01,0.8568,0.7484
25.28,6.059,0.005,0.01,1.1801,1.6482
7.2,19.346,0.005,0.01,18.093,9.636
543.6,3.656,0.005,0.01,0.676,0.068
50.75,3.084,0.003,0.003,0.6176,0.578
33.68,1.429,0.001,0.001,0.2744,0.2594
