median_mvt_ms,mvt_err_upper,peak_amplitude,sigma,mvt_err_lower
442.5395,147.2451,0.5,300.0,125.7481
256.751,46.7997,2.0,300.0,69.7457
305.0575,69.1363,1.0,300.0,88.7737
597.563,254.4864,0.3,300.0,227.9008
2419.301,1186.0934,0.1,300.0,1241.1468
1097.5185,1156.4376,0.2,300.0,496.2172
254.32,5.2366,3.0,300.0,43.88
217.059,37.6768,20.0,300.0,1.3374
253.739,2.7895,5.0,300.0,40.6698
217.175,0.5218,50.0,300.0,0.5746
217.162,0.4668,100.0,300.0,0.3748
217.932,37.5054,10.0,300.0,3.9008
217.196,0.196,200.0,300.0,0.2629
217.23,0.1532,300.0,300.0,0.181
217.247,0.1382,500.0,300.0,0.145
851.407,7.5221,3.0,1000.0,138.5403
1428.533,356.4586,0.3,1000.0,426.7929
3417.069,3713.8692,0.1,1000.0,1132.8634
863.5385,168.8963,1.0,1000.0,319.9784
849.612,13.9712,2.0,1000.0,146.384
1772.154,654.8404,0.2,1000.0,570.1378
727.26,2.3826,10.0,1000.0,3.31
1181.768,219.532,0.5,1000.0,367.061
727.211,129.684,5.0,1000.0,6.804
727.4625,1.4815,20.0,1000.0,1.8578
727.481,0.8096,50.0,1000.0,0.9398
727.623,0.5808,100.0,1000.0,0.7054
727.552,0.3786,200.0,1000.0,0.417
727.591,0.2787,300.0,1000.0,0.3401
727.5705,0.3082,500.0,1000.0,0.2653
217.261,0.0926,1000.0,300.0,0.1156
727.599,0.181,1000.0,1000.0,0.1904
