sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,gaussian,1.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,169,131,254.32,43.88,5.2366,251.7585,110.3518,28.6011,2260.13,1797.73,-999,-999,-999,-999,999.03,62.43,-999,53.3,-999,-999,-999,-999,6.91,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,10.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,168,132,254.183,46.6056,31.981,252.284,169.5963,50.6668,2258.24,1797.72,-999,-999,-999,-999,999.02,62.41,-999,53.25,-999,-999,-999,-999,6.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,3.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,196,104,318.663,120.5002,74.0824,319.245,121.6474,112.8549,753.04,1798.58,-999,-999,-999,-999,999.51,34.85,-999,17.75,-999,-999,-999,-999,4.07,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,3.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,191,109,901.467,347.7304,174.3992,891.088,403.1892,188.1543,2510.14,5998.1,-999,-999,-999,-999,999.77,58.45,-999,32.41,-999,-999,-999,-999,4.37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,-999,-999
function,gaussian,0.3,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,172,128,256.4635,46.0838,5.1418,253.9135,118.8152,34.4453,2260.88,1798.11,-999,-999,-999,-999,999.24,61.69,-999,53.31,-999,-999,-999,-999,6.91,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,219,81,140.523,40.2214,28.7395,143.0155,41.8871,56.525,250.94,598.79,-999,-999,-999,-999,998.86,22.04,-999,10.25,-999,-999,-999,-999,3.68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,1.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,199,101,851.407,138.5403,7.5221,721.0905,428.2019,137.3293,7519.3,5996.98,-999,-999,-999,-999,999.58,113.61,-999,97.09,-999,-999,-999,-999,7.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,-999,-999
function,gaussian,0.1,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,205,95,87.012,17.6966,17.0181,87.265,26.7054,28.0932,753.6,598.58,-999,-999,-999,-999,998.43,35.93,-999,30.79,-999,-999,-999,-999,6.58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,194,106,308.035,92.8014,69.9482,312.903,97.8655,101.3247,752.64,1798.85,-999,-999,-999,-999,999.67,34.18,-999,17.74,-999,-999,-999,-999,4.06,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,184,116,863.5385,319.9784,168.8963,854.4845,364.3062,185.8011,2510.54,5997.43,-999,-999,-999,-999,999.65,56.34,-999,32.42,-999,-999,-999,-999,4.37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,-999,-999
