sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,triangular,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,213,87,256.041,84.383,51.968,257.359,96.6481,62.4313,501.15,999.14,-999,-999,-999,-999,999.56,29.55,-999,15.85,-999,-999,-999,-999,3.81,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,3.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,183,117,1791.022,903.333,371.6678,1601.741,812.4048,563.0872,4996.0,9998.72,-999,-999,-999,-999,999.91,79.82,-999,49.96,-999,-999,-999,-999,4.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,1.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,189,111,501.079,247.3723,15.0218,414.167,213.8186,102.1023,4503.25,2996.18,-999,-999,-999,-999,998.86,79.55,-999,82.27,-999,-999,-999,-999,6.96,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,181,119,605.758,248.3552,124.7324,602.4465,261.5199,182.1598,1505.14,2996.88,-999,-999,-999,-999,999.08,45.49,-999,27.49,-999,-999,-999,-999,4.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,0.3,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,191,109,504.773,268.49,15.4098,419.513,230.6048,100.5584,4503.07,2996.33,-999,-999,-999,-999,998.91,81.67,-999,82.26,-999,-999,-999,-999,6.96,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,0.1,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,209,91,171.19,66.179,37.187,170.885,73.5214,55.1345,1503.31,998.61,-999,-999,-999,-999,999.05,48.86,-999,47.56,-999,-999,-999,-999,6.62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,1.0,3,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,194,106,1388.678,386.2666,307.0008,1271.508,819.8038,415.1494,14999.54,9996.24,-999,-999,-999,-999,999.67,140.93,-999,150.02,-999,-999,-999,-999,7.21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,211,89,245.359,74.479,50.7432,247.0835,84.0294,79.4208,500.99,999.19,-999,-999,-999,-999,999.61,28.83,-999,15.85,-999,-999,-999,-999,3.81,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,184,116,607.1755,246.1315,127.1334,605.175,260.3712,143.145,1504.88,2997.09,-999,-999,-999,-999,999.15,45.74,-999,27.49,-999,-999,-999,-999,4.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,181,119,1690.759,719.6018,361.616,1648.83,842.5785,408.0532,4994.8,9998.3,-999,-999,-999,-999,999.87,77.87,-999,49.95,-999,-999,-999,-999,4.39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,1.0,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,207,93,148.693,84.6467,32.1271,146.324,86.176,34.3392,4999.01,999.29,-999,-999,-999,-999,999.66,121.32,-999,158.12,-999,-999,-999,-999,12.43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,10.0,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,174,126,145.3205,44.6449,31.756,144.693,73.3256,34.3753,5000.38,999.6,-999,-999,-999,-999,999.97,123.13,-999,158.14,-999,-999,-999,-999,12.41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,3.0,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,180,120,155.697,74.6252,11.2706,128.732,72.7439,33.3293,4994.77,999.2,-999,-999,-999,-999,999.56,125.42,-999,157.99,-999,-999,-999,-999,12.41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,3.0,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,191,109,442.228,218.0218,8.8702,323.161,204.3562,125.962,15005.09,2999.01,-999,-999,-999,-999,999.8,214.57,-999,273.99,-999,-999,-999,-999,12.77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,10.0,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,187,113,1475.691,604.787,16.1838,879.967,613.5693,609.2243,49964.44,9999.19,-999,-999,-999,-999,999.96,390.86,-999,499.66,-999,-999,-999,-999,13.01,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,10.0,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,158,142,143.0115,67.2095,2.4255,140.651,72.0319,6.8806,14989.66,999.58,-999,-999,-999,-999,1000.0,323.11,-999,474.04,-999,-999,-999,-999,21.74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,3.0,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,184,116,1225.024,145.4418,268.741,1084.361,834.9913,402.4294,49966.01,9998.26,-999,-999,-999,-999,999.87,363.54,-999,499.7,-999,-999,-999,-999,13.01,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,10.0,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,191,109,429.054,135.4378,9.496,351.387,238.8879,86.3467,14999.93,2999.99,-999,-999,-999,-999,1000.12,200.57,-999,273.85,-999,-999,-999,-999,12.76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,1.0,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,186,114,409.142,111.9608,10.4262,303.899,154.4841,113.7261,14995.63,2999.07,-999,-999,-999,-999,999.82,196.82,-999,273.81,-999,-999,-999,-999,12.76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,3.0,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,199,101,128.879,38.9691,29.6735,115.567,59.5351,42.5609,14989.79,998.83,-999,-999,-999,-999,999.24,325.7,-999,474.23,-999,-999,-999,-999,21.74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,0.3,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,210,90,147.819,83.3157,33.4941,123.362,63.4867,57.7267,4999.19,999.3,-999,-999,-999,-999,999.67,123.17,-999,158.12,-999,-999,-999,-999,12.43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,1.0,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,210,90,147.247,84.7146,2.761,91.689,43.5675,58.08,14990.84,999.64,-999,-999,-999,-999,1000.03,347.78,-999,474.07,-999,-999,-999,-999,21.77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,0.3,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,204,96,123.356,43.239,27.0377,109.9375,66.1975,39.9764,14997.91,999.8,-999,-999,-999,-999,1000.2,321.19,-999,474.26,-999,-999,-999,-999,21.78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,1.0,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,187,113,339.961,40.6452,72.2207,300.934,224.5352,74.7786,44982.94,3000.03,-999,-999,-999,-999,1000.16,540.38,-999,821.22,-999,-999,-999,-999,22.07,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,3.0,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,190,110,439.224,206.6943,6.7578,261.952,192.1725,183.02,44985.33,2999.96,-999,-999,-999,-999,1000.13,603.86,-999,821.28,-999,-999,-999,-999,22.08,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,10.0,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,186,114,319.164,33.6582,114.8446,312.298,211.4998,120.3284,44995.79,2999.99,-999,-999,-999,-999,1000.14,515.01,-999,821.46,-999,-999,-999,-999,22.07,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
